,job_descn
0,"Roles & Responsibilities  WongPartnership is a top-tier law firm headquartered in Singapore. We have a proven track record and reputation for providing exceptional client service and achieving results for our domestic and international clients.    The firm’s continued success in ASEAN is underscored by support from its legal and professional support staff. We provide our staff with an interesting work environment, enriched with training and career development opportunities.   We are looking for a highly motivated individual to join a high-performing team with the ability to thrive in a fast paced and challenging professional services environment.    We have the following new role opening:   Marketing and Client Services Administrator    As part of our Marketing & Client Services (MCS) team, you will have primary responsibility for the maintenance of the department’s data and facilitate the use of the data by a wide range of internal stakeholders. You will support the ongoing management of the firm’s Client Relationship Management (“CRM”) system and be part of a project team tasked to automate current processes. In addition, you will support the team and other firm-wide marketing & client initiatives.   Specifically, you will:  Be the data steward for the firm’s client contact database Generate mailing lists for client events and marketing campaigns Maintain the department's existing databases and support the creation of a new matters database Undertake regular data cleansing and ensure data is kept up to date and relevant to the business Promote best practices for data collection and ongoing process improvement Provide guidance on usage and promote effective use of the respective tools by conducting training and sharing best practices Provide administrative support to the department (including events support, updating deals database etc) Requirements A diploma in a relevant discipline with a minimum of 2 years of related experience Familiarity with database technologies and CRM administration experience strongly preferred Basic HTML programming skills and experience with Electronic Direct Mail software Advanced skills in Microsoft Excel and Outlook are essential Analytical mind-set to multitask, problem solve, and enjoy working with numbers and data Extremely organised with excellent attention to details and able to follow through on assigned tasks Good written and verbal communication skills  Interested applicants are invited to send in their detailed resume by clicking on "" Apply Now"". You may visit our website at www.wongpartnership.com for more information.   Please note that only shortlisted applicants will be notified.   In submitting your application to our firm, you agree and consent to the collection, usage and disclosure of your personal data in accordance with our Personal Data Policy, which is available at www.wongpartnership.com. In addition, you consent to be considered for all suitable positions, including the position you're applying for, within WongPartnership LLP.    Please do not send us your personal information if you do not wish your personal information to be used in this way.  "
1,"Roles & ResponsibilitiesWe are seeking a talented, creative, and dynamic Senior Marketing Manager. You will be responsible for driving a best in class customer experience by crafting plans for targeting and launching seasonal promotional campaigns, and developing messaging and customer segmentation strategies to increase engagement rates across our customer base. You will need to flex both your analytical skills and your creative muscles: you must be able to work at the strategic level (generating bold and innovative ideas for growth) and at the tactical level (managing campaigns with merchandising tools, analyzing traffic data, and solving problems). You’ll be a passionate advocate for retail, with an eye for compelling merchandising, an aptitude for data-analysis, and a passion for continuous content testing. You will hold a high bar for measurement of merchandising activities, and will define success metrics, measurement methods and reporting processes for your efforts. We seek an individual who is motivated by a fast-paced and highly entrepreneurial environment. A qualified candidate should have a strong customer-obsession, good understanding of the market landscape and with a self-starter spirit. In this role, flexibility and the ability to prioritize in a changing business environment will also be key. Key responsibilities include:   Conceptualizing, building, and executing the full lifecycle of marketing, including creative development, targeting segmentation, and performance analysis Partnering with our vendor management team to craft and execute promotional events Creating and scheduling individual merchandising campaigns across website, connected devices and mobile devices, including regular new content launches and seasonal promotional campaigns Optimizing on-site content campaigns, messaging and navigation through frequent testing and data analysis, documenting the results and sharing best practices Determining the appropriate methods and systems of metrics for measuring and monitoring marketing effectiveness     RequirementsBasic Qualifications   Bachelor’s Degree with at least 3 years of relevant experience Good understanding of online and offline marketing channels Strong analytical and quantitative skills including the ability to use customer research and metrics to back up intuition and assess the efficacy of marketing programs Demonstrated ability to achieve exceptional results with limited marketing budget High degree of organization and ability to manage multiple, competing priorities simultaneously Excellent communication (verbal and written) and collaboration skills that enable you to earn trust at all levels Extreme attention to detail and willingness to roll up your sleeves "
2,"Roles & ResponsibilitiesWe are searching for a motivated Accounts Assistant who is an excellent multitasker with exceptional communication and time management skills. Accounting Assistants can expect to assist the Accounting department with data entry, processing, and recording transactions, updating the ledger, and issuing cheques. You should be thorough, accurate, and honest with good bookkeeping skills. To be a successful Accounts Assistant, you should have an understanding of basic Accounting principles and proficiency with computers and software, such as MS Excel or MYOB. You should be trustworthy, efficient, and organized. Accounts Assistant Responsibilities: Providing support to the Accounting Department. Performing basic office tasks, such as filing, data entry, answering phones, processing the mail, etc. Processing transactions, issuing checks, and updating ledgers, budgets, etc.RequirementsMin. LCCI Diploma 3 – 5 year of accounting experience Exceptional time management skills. Familiarity with basic Accounting principles. Professional manner and strong ethical code. Ability to multitask and remain motivated and positive. Commitment to working efficiently and accurately."
3,"Roles & ResponsibilitiesAs an Accounts Executive, you will play a vital role in the day-to-day operations of the Company. You will generate, review and process the necessary documents while complying with the local tax/audit regulatory. Your deliverables to the finance department will contribute to the smooth and efficient running of the business. Job Responsibilities:  Manage and monitor a portfolio of AP accounts, ensuring timely recording of invoices and payment transactions with proper filing, arrange for and prepare payments and attending to all creditors related queries. Strict adherence to AP policies and procedures Keep track and update Fixed Assets list every month. Do bank reconciliation monthly and ensure that bank related transactions documents are not omitted. Manage all sales invoices and also ensure all information are recorded.   Check and review purchase invoice and staff claims while complying with the internal control and group policy Assist in monthly, quarterly and yearly closing and preparation for GST submission Responsible for daily Cash Book update To assist and liaise with auditors and follow up on auditors’ queries on AP portion for financial audit. Perform administrative support, data updates and other ad-hoc duties when tasked by functional lead.       Requirements At least 2 years of relevant working experience LCCI/Diploma in Accounting and Finance Knowledge in a basic accounting software used by the Company Independent and able to work in a fast-paced and voluminous environment with minimum supervision Meticulous with an eye for details A good team player and can work under pressure and meet tight deadlines Proficient in using Microsoft Office software, in particular, MS Excel Good communication skills Able to start work at short notice or Immediate availability will be advantageous     "
4,"Roles & Responsibilities Manage and Respond to Calls (Presales and Post Sales) in professional and caring manner. Requesting of Documents from Customer Validation of Customer’s Coverage Assessing of Claims Submission of Claims data into Systems Liaise with end-user on any outstanding queries and ensure it is followed through till it is closed. Make Outbound Service Calls when deemed necessary. Communicate and Follow Up with relevant department (both internal and external) accurately and professional manner. Report Escalations to Operations Manager in a timely and consistent manner. To investigate all non-conformance and assist in carrying out remedial actions. Develop a team spirit among the operating team. Other ad-hoc duties when assigned by the Management. Requirements Minimum GCE “O” level / NITEC Required to have Basic Insurance Concept and Principle (BCP) and Personal General Insurance (PGI) certificate Prior experience in call centre environment or web support will be an added advantage. Possess excellent interpersonal and communication skills and customer service skills Decisive, able to multi-task and committed to service excellence Able to handle stress Able to work in a fast pace environment Knowledge of office and web application preferred. Good team player "
5,"Roles & Responsibilities Work with recruiters and stakeholders in our Global Business Operations and General Advisory Functions to understand the structure of their teams, their ongoing projects, and their hiring demands and talent strategy.  Effectively communicate the nuances of our hiring process, our technologies, and the technical demands of our sales and general & admin positions Solve problems and produce solutions by collecting and analyzing data, identifying alternatives when circumstances change, and seeking out ways to improve the business beyond your stated responsibilities  Requirements BA/BS degree or equivalent practical experience.  3-4 years of relevant work experience in sourcing, recruiting, executive search, headhunting or research "
6,Roles & ResponsibilitiesTo assist the Compilance Officer on: - Handling on-boarding review of new customers - On-going review of existing customers - Data entry into systems and maintenance of review files - Understudy with Compliance Officer on anti-money laundering reviews and risk managementRequirementsBachelor Degree/Diploma qualifications Detailed analytical skill Fresh graduate encouraged to apply
7,"Roles & Responsibilities Process Monthly/Bi-monthly payroll of Singapore and Malaysia clients Country statutory submission Generate payroll reports Be responsible for year-end income tax submission and tax clearance Employee Leave Management Update & maintain employee HRM Data Responsible for audit (Internal & External) requirements Ensure payroll accuracy and compliance with SLA Attend to employee query via email or phone Create, Update, Maintain payroll process flow and client policy Assist in UAT testing Requirements Diploma/Degree in Human Resources or other relevant qualifications 2-3 years of relevant experience in the HR and Payroll Outsourcing Industry Good understanding of payroll life cycle of Singapore and Malaysia Sound knowledge of local payroll legislation and HR practices Detail oriented and meticulous Able to multitask and work under tight deadlines Client focused and customer sensitive service behaviour Enthusiastic personality and able to thirve in a dynamic and fast paced environment Able to start work with short notice "
8,"Roles & ResponsibilitiesXpand is looking to hire a Business Data Analyst who will be working on one of our technology client's projects. In this role, you will work closely with the Global Marketing Analytics team and key stakeholders on data analytics that inform campaign success and provide thought leadership and learnings to refine operations using data insights. This is a 6 months contract based in Singapore. What you will do: The ideal candidate has strong experience working with all different stages of data analysis: data querying, building reporting pipelines, running statistical analysis, building dashboards, and presenting insights. You should be a self-starter that can ""crunch the numbers"", identify trends that connect to the big picture, partner with senior stakeholders, and communicate effectively with senior executives to drive significant strategic initiatives.  RequirementsWhat you will need:  BA/BS degree in Business/Data Analytics, related field or equivalent practical experience with 4 years work experience In-depth experience analyzing data and creating reports with strong spreadsheet, database query experience (e.g. SQL), statistical, quantitative modeling and forecasting skills. Previous experience in the tech industry Ability to understand the implications of data analysis and build a strategic story from this data Strong communication and presentation skills to deliver findings of analysis. Demonstrable organizational and project management skills, with the ability to manage multiple projects with competing priorities.  Interested candidates can send their CVs to Koeschnake Maceda at koesch@xpand.sg. CEI No: R1548053 | Licence No: 07C3147"
9,"Roles & ResponsibilitiesNomura Overview   Nomura is an Asia-based financial services group with an integrated global network spanning over 30 countries. By connecting markets East & West, Nomura services the needs of individuals, institutions, corporates and governments through its three business divisions: Retail, Asset Management, and Wholesale (Global Markets and Investment Banking). Founded in 1925, the firm practices disciplined entrepreneurship while building on a long tradition of serving clients with creative solutions and considered thought leadership. Functional Overview   Nomura Group has embarked on a Digital Transformation with the goal of automating business processes and creating Alpha opportunities. This is a significant Investment programme with a multi-year horizon, and is intended to make Nomura a Leader in this field. A dedicated team of Data Scientists is being put in place in multiple locations with the goal of developing insight in existing and new data sets, that directly drives the creation of models and algorithms that can be used for automation and/or Alpha Generation. The team is led by a Chief Digital Officer reporting into the head of Wholesale. Data and Computing resources are readily available for the team. Job Description    Work closely with infrastructure providers to translate prototypes into production solutions. Design hypothesis tests, oversee execution, and perform rigorous statistical evaluation of the results to produce actionable insights Manage stakeholders and guide them in unlocking the value in their data Use a scientific method and strive for positive results at all times, balanced with working in an ‘Agile’ way to achieve rapid turnaround. Confident and self-motivating senior KDB+ developer with an excellent understanding of data engineering and time series analysis Client focused and are comfortable communicating with stakeholders across the bank RequirementsKey Experience & Skills    Strong academic background with a Masters in Computer Science, Mathematics or other quantitative fields Experience in providing MIS solutions for eTrading ( or other market(s) ) KDB in memory relational database experience is a must Experience with Q/Kdb+ for capture and serving of data Proficiency in Python Ability to write clean, scalable, production-ready code. Ability to communicate technical concepts and results to a non-technical audience and a keen interest in understanding business requirements Understanding of Equities, Fixed Income, FX and Commodities products is preferred. Inquisitive nature with an eagerness to investigate and fully understand products, processes and issues. Database and middleware experience (JMS, 29 West/Informatica, ZeroMQ, Tibco RV, Oracle, Sybase, DB2)  Regional Disclaimers / Diversity Statement   Nomura is committed to an employment policy of equal opportunities, and is fundamentally opposed to any less favourable treatment accorded to existing or potential members of staff on the grounds of race, creed, colour, nationality, disability, marital status, pregnancy, gender or sexual orientation."
10,"Roles & ResponsibilitiesAs a Senior Statistical Specialist (Process design and development) in the Manpower Research and Statistics Department, you will be part of a dynamic and responsive team who handles national surveys. This position reports to the Senior Assistant Director.
You will:

work with stakeholders on the research and design sampling methods and develop sample size to balance data requirements and resource required;
consolidate and design survey strategy based on the data needs garnered;
develop strategies to create marketing and publicity campaign to improve survey experience, operational efficiencies and garner quality participation from the respondents.

Requirements:

two to four years of relevant experience in process design and development
excellent communication and interpersonal skills
Analytical and creative
Resourceful and proactive in proposing alternative solutions to achieve outcomes
Being competent in survey application/questionnaire design and user experience will be an advantage
"
