,company,title,location,seniority,category,salary,salary_period
0,GOOGLE ASIA PACIFIC PTE. LTD.,"Data Science Lead, Large Customer Sales - Singapore",South,Executive,Information Technology,"$7,700to$15,400",Monthly
1,KIMBERLEY CONSULTING PTE. LTD.,Data Analyst,South,Executive,Information Technology,Salary undisclosed,
2,DBS BANK LTD.,"AVP, Data Scientist, Business Analytics, Consumer Banking Group (180004XI)",Central,Executive,Information Technology,"$6,500to$11,700",Monthly
3,NIOMETRICS (PTE.) LTD.,High-Performance Data Engineer,Central,Executive,Information Technology,"$5,500to$11,000",Monthly
4,NIOMETRICS (PTE.) LTD.,Data Scientist,East,Senior Management,Information Technology,"$5,000to$10,000",Monthly
5,NATIONAL UNIVERSITY OF SINGAPORE,Data Scientist,East,Senior Management,Information Technology,"$5,000to$7,500",Monthly
6,KEYTEO CONSULTING PTE. LTD.,Data scientist  /  Application production engineer,East,Professional,Information Technology,"$8,000to$16,000",Monthly
7,MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,Enterprise Architecture Tool Admin,East,Professional,Information Technology,"$6,000to$8,500",Monthly
8,WIPRO LIMITED (SINGAPORE BRANCH),Managing Consultant – Banking and Blockchain,East,Professional,Information Technology,"$10,000to$15,000",Monthly
9,GOOGLE ASIA PACIFIC PTE. LTD.,Global Mobility Solution Operations Specialist - Singapore,East,Professional,Information Technology,"$4,500to$9,000",Monthly
10,WIPRO LIMITED (SINGAPORE BRANCH),Project Manager,South,Non-executive,Education and Training ...,"$8,500to$10,500",Monthly
11,APAR INNOSYS PTE. LTD.,Software Consultant,South,Non-executive,Education and Training ...,"$6,000to$9,000",Monthly
12,NEURONES IT ASIA PTE. LTD.,SAP Consultant ( PP),Central,Non-executive,Banking and Finance,"$7,200to$8,000",Monthly
13,SEARCH STAFFING SERVICES PTE. LTD.,"Senior Engineer, Software Perception (Autonomous Driving)",Central,Non-executive,Banking and Finance,"$5,000to$8,500",Monthly
14,NIOMETRICS (PTE.) LTD.,Database Engineer,Islandwide,Executive,Information Technology,"$5,500to$11,000",Monthly
15,CHARLESKEITH.COM PTE. LTD.,Senior Marketing & PR Executive- US / AU / Europe,Islandwide,Executive,Information Technology,"$3,200to$3,800",Monthly
16,Company Undisclosed,Network Engineer / Manager,East,Professional,Information Technology,Salary undisclosed,
17,A DRBRAND PTE. LTD.,Logistics Executive,East,Professional,Information Technology,"$2,000to$2,600",Monthly
18,ROBERT WALTERS (SINGAPORE) PTE LTD,IT Project Coordinator,South,Junior Executive,General Management,"$4,500to$8,000",Monthly
19,DHL EXPRESS (SINGAPORE) PTE. LTD.,Reporting Senior Analyst,South,Junior Executive,General Management,"$65,000to$90,000",Annually
20,LEAP (G) PTE. LTD.,Delivery Consultant,"East, Central",Professional,Information Technology,"$10,000to$15,000",Monthly
21,A*STAR RESEARCH ENTITIES,GIS - Post Doctoral Fellows (Spatial Transcriptomics & Single Cell Oncology Program),"East, Central",Professional,Information Technology,"$4,500to$9,000",Monthly
22,BIG - FOOT LOGISTIC PTE LTD,Account Assistant,Islandwide,Executive,Information Technology,Salary undisclosed,
23,SETSCO SERVICES PTE LTD,Assistant Chemist  /  Chemist,Islandwide,Executive,Information Technology,"$2,400to$3,100",Monthly
24,NIOMETRICS (PTE.) LTD.,High-Perfomance DPI Engineer,Islandwide,Senior Executive,Information Technology,"$5,000to$11,000",Monthly
25,NIOMETRICS (PTE.) LTD.,UX / UI Developer,Islandwide,Senior Executive,Information Technology,"$5,000to$10,000",Monthly
26,MICROCOOL TECHNOLOGIES PTE. LTD.,PRODUCT MANAGER (BLOCKCHAIN TRADING PLATFORM),"East, Central",Professional,Engineering,"$6,000to$8,000",Monthly
27,TOTAL EBIZ SOLUTIONS PTE. LTD.,System Engineer,"East, Central",Professional,Engineering,"$5,000to$6,500",Monthly
28,APAR INNOSYS PTE. LTD.,Senior Software Developer,East,Professional,Information Technology,"$6,000to$8,500",Monthly
29,CHEVALIER SINGAPORE HOLDINGS PTE. LTD.,Admin Executive  /  Admin Assistant,East,Professional,Information Technology,"$2,000to$3,000",Monthly
30,SKY EMPLOYMENT PTE. LTD.,Administrative Executive,East,Senior Executive,Marketing / Public Relations ,"$2,400to$3,500",Monthly
31,MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,Network Engineer (Architect level),East,Senior Executive,Marketing / Public Relations ,"$8,000to$12,000",Monthly
32,LONG SHINE EQUIPMENT & SUPPLIES PTE LTD,Accountant,North,Executive ...,Information Technology ...,"$3,000to$3,500",Monthly
33,"JPMORGAN CHASE BANK, N.A.","NiFi Engineer, Associate",North,Executive ...,Information Technology ...,"$6,000to$12,000",Monthly
34,"JPMORGAN CHASE BANK, N.A.","CyberSecurity Analyst - Attack Analysis, Associate",South,Fresh/entry level ...,Logistics / Supply Chain,"$6,000to$12,000",Monthly
35,SWIRE PACIFIC OFFSHORE OPERATIONS (PTE) LTD,"Support Specialist, Information Technology",South,Fresh/entry level ...,Logistics / Supply Chain,"$4,000to$4,500",Monthly
36,OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,Recruitment Manager,Central,Senior Executive,Information Technology,"$10,000to$12,000",Monthly
37,OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,Recruitment Specialist,Central,Senior Executive,Information Technology,"$7,500to$9,500",Monthly
38,OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,Recruitment Specialist,Central,Senior Executive,Logistics / Supply Chain,"$5,000to$7,000",Monthly
39,PRINTRONIX SCHWEIZ GMBH,Business Analyst,Central,Senior Executive,Logistics / Supply Chain,"$3,500to$5,000",Monthly
40,KIMBERLEY CONSULTING PTE. LTD.,Corporate Treasury Officer / Executive (Commodities),Islandwide,Professional,Information Technology,Salary undisclosed,
41,LIEBHERR-SINGAPORE PTE LTD,Lead Inspector,Islandwide,Professional,Information Technology,"$3,500to$4,000",Monthly
42,KELLY SERVICES (SINGAPORE) PTE. LTD.,Recruitment Consultant,South,Non-executive,Sciences / Laboratory / R&D,"$3,500to$5,250",Monthly
43,INFINEON TECHNOLOGIES ASIA PACIFIC PTE LTD,Change Manager – One SAP,South,Non-executive,Sciences / Laboratory / R&D,"$8,000to$13,000",Monthly
44,BOS OFFSHORE & MARINE PTE. LTD.,Power drivetrain Engineering Manager,West,Junior Executive,Accounting / Auditing / Taxation,Salary undisclosed,
45,NANYANG TECHNOLOGICAL UNIVERSITY,Research Fellow,West,Junior Executive,Accounting / Auditing / Taxation,"$4,000to$5,500",Monthly
46,CONNECT ENERGY SERVICES PTE. LTD.,Personnel Officer,West,Fresh/entry level ...,Sciences / Laboratory / R&D,"$2,800to$3,300",Monthly
47,SMIT SINGAPORE PTE LTD,HR Executive,West,Fresh/entry level ...,Sciences / Laboratory / R&D,"$3,000to$4,000",Monthly
48,PACIFIC GEOSCIENCE (S) PTE. LTD.,Technical Manager,East,Professional,Information Technology,"$4,000to$5,000",Monthly
49,PTS CONSULTING (SINGAPORE) PTE. LTD.,draughtsperson,East,Professional,Information Technology,Salary undisclosed,
50,MS RESOURCES PTE. LTD.,HR  / FINANCE ASSISTANT,East,Professional,Information Technology,"$1,800to$2,000",Monthly
51,A*STAR RESEARCH ENTITIES,"GIS - Post Doctoral Fellows (Mathematical Analysis of Epigenomes, Single Cell Transcriptomes)",East,Professional,Information Technology,"$4,500to$9,000",Monthly
52,LOURDES GAVIN PTE. LTD.,Assistant Engineer (Plating),West,Manager,Information Technology,"$2,000to$3,000",Monthly
53,KENSINGTON CORPORATE MANAGEMENT (S) PTE. LTD.,Due Diligence Executive,West,Manager,Information Technology,"$1,800to$2,200",Monthly
54,NIOMETRICS (PTE.) LTD.,Visual Content Creator,Islandwide,Professional,Information Technology,"$3,000to$5,000",Monthly
55,NIOMETRICS (PTE.) LTD.,UX / UI Designer,Islandwide,Professional,Information Technology,"$5,000to$10,000",Monthly
